figure_no,figure_id,caption_original,caption_ru,api_page,pdf_page,block_id,candidate_id,block_type,original_text,ru_text,stage3_translate,stage3_status,stage3_confidence,bbox_pdf_points_stage3,bbox_crop_pixels_stage3,bbox_asset_pixels_stage3k,bbox_tight_ink_stage3k,bbox_safe_stage3k,line_bboxes_stage3k,replacement_bbox_stage3l,font_size_stage3l,wrapped_ru_stage3l,master_status,action,source_of_approval,source_detail,figure_accepted_keep,user_scope_note,user_policy_note,s49_rebuild_required,do_not_use_v3_mass_output_as_approval
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-001,,caption,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,True,caption,0.95,"[217.38, 543.41, 383.02, 554.53]",,,,,,,,,approved_not_inside_png,skip_caption_or_html_block,stage3_source_translate_true,caption/note is outside crop or represented as HTML,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-002,,dimension,44.5 mm (1.75 in.) + T,44.5 мм (1.75″) + T,False,pure_linear_dimension,0.75,"[158.7, 91.42, 247.49, 102.46]","[237, 23, 415, 45]",,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,pure_linear_dimension,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-003,,symbol_only,U,U,False,symbol_only,0.55,,,,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-004,,symbol_only,B,B,False,symbol_only,0.55,,,,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-005,,symbol_only,Q,Q,False,symbol_only,0.55,,,,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-006,,symbol_only,V,V,False,symbol_only,0.55,,,,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-007,,symbol_only,N,N,False,symbol_only,0.55,,,,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-008,,symbol_only,b,b,False,symbol_only,0.55,,,,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-009,,symbol_only,P,P,False,symbol_only,0.55,,,,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-010,,symbol_only,E,E,False,symbol_only,0.55,,,,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-011,,symbol_only,S1,S1,False,symbol_only,0.75,"[309.86, 190.01, 318.79, 199.01]","[540, 220, 558, 238]",,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
1,Figure 1,Figure 1—Thermowell Terminology,Рисунок 1 — Терминология защитной гильзы,24,32,block-012,,symbol_only,L2,L2,False,symbol_only,0.75,"[310.25, 226.84, 318.17, 235.85]","[540, 294, 556, 312]",,,,,,,,not_for_translation,protect_do_not_translate,stage3_source_nontranslated_protected,symbol_only,yes,,Figure 1—Thermowell Terminology принято. B bore diameter … P external threaded connection считать встроенной таблицей: удалить с рисунка и включить ниже чертежа в композитную таблицу на 2 колонки.,no,yes
